Scope
Manufacturer	Model
Skrock Music	se.skrockmusic.SMFXDelay

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Delay Rate	0	10	Value	ValueOutput
Dry/Wet	0	4194304	Value	ValueOutput
Duck	0	4194304	Value	ValueOutput
Ping-Pong	0	4194304	Value	ValueOutput
Delay Time	0	4194304	Value	ValueOutput
LO-FI	0	4194304	Value	ValueOutput
Bell EQ Freq	0	4194304	Value	ValueOutput
Bell EQ Gain	0	4194304	Value	ValueOutput
Low Cut	0	4194304	Value	ValueOutput
High Cut	0	4194304	Value	ValueOutput
Damp	0	4194304	Value	ValueOutput
LP Brickwall	0	4194304	Value	ValueOutput
Drift	0	4194304	Value	ValueOutput
Chorus	0	4194304	Value	ValueOutput
Phaser	0	1	Toggle	ValueOutput
Drift High Rate	0	1	Toggle	ValueOutput
Pitch Mod	0	1	Toggle	ValueOutput
Pitch Mod High Cut	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
