Scope
Manufacturer	Model
Robotic Bean	com.roboticbean.AcoustiClap

Remotable	Min	Max	Input type	Output type
Clappers	0	7	Value	ValueOutput
Stereo Spread	0	4194304	Value	ValueOutput
Slop	0	4194304	Value	ValueOutput
Room Level	0	4194304	Value	ValueOutput
Pattern	0	3	Value	ValueOutput
Fill In	0	1	Toggle	ValueOutput
Synchro Start	0	1	Toggle	ValueOutput
Intensity	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Note On	0	1	-	ValueOutput
Synchro Start Active	0	1	-	ValueOutput
Fill In Active	0	1	-	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
