Scope
Manufacturer	Model
Noise Engineering	us.noiseengineering.SIV

Remotable	Min	Max	Input type	Output type
Curve	0	4194304	Value	ValueOutput
Sustain	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Pitch Octave	0	16	Value	ValueOutput
Pitch Semitone	0	22	Value	ValueOutput
Pitch Cent	0	198	Value	ValueOutput
Mode	0	2	Value	ValueOutput
Tone	0	4194304	Value	ValueOutput
VCA/LPG	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Polyphony	0	7	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Range	0	23	Value	ValueOutput
Note LED	0	1	-	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
