Scope
Manufacturer	Model
ProjectSAM	com.projectsam.Sampler

Remotable	Min	Max	Input type	Output type
Attack	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Sustain	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Reverb	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Ratio	0	4194304	Value	ValueOutput
noteOn	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Breath Control	0	127	Value	ValueOutput
Expression	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
